first_visit_date,views,days_since_first_visit,retained_users,total_users_cohort,retention_rate
2019-10-03,c. 11~30,14,373,1619,0.23038912909203213
2019-10-03,c. 11~30,15,371,1619,0.2291537986411365
2019-10-03,c. 11~30,16,331,1619,0.20444718962322422
2019-10-03,c. 11~30,17,351,1619,0.21680049413218036
2019-10-03,c. 11~30,18,316,1619,0.19518221124150711
2019-10-03,c. 11~30,19,309,1619,0.19085855466337245
2019-10-03,c. 11~30,20,321,1619,0.19827053736874614
2019-10-03,c. 11~30,21,316,1619,0.19518221124150711
2019-10-03,c. 11~30,22,339,1619,0.20938851142680667
2019-10-03,c. 11~30,23,284,1619,0.17541692402717726
2019-10-03,c. 11~30,24,335,1619,0.20691785052501543
2019-10-03,c. 11~30,25,293,1619,0.18097591105620753
2019-10-03,c. 11~30,26,288,1619,0.1778875849289685
2019-10-03,c. 11~30,27,271,1619,0.16738727609635579
2019-10-03,c. 11~30,28,272,1619,0.16800494132180357
2019-10-03,d. 31~,0,558,558,1.0
2019-10-03,d. 31~,1,239,558,0.4283154121863799
2019-10-03,d. 31~,2,167,558,0.2992831541218638
2019-10-03,d. 31~,3,153,558,0.27419354838709675
2019-10-03,d. 31~,4,164,558,0.2939068100358423
2019-10-03,d. 31~,5,148,558,0.26523297491039427
2019-10-03,d. 31~,6,166,558,0.2974910394265233
2019-10-03,d. 31~,7,121,558,0.2168458781362007
2019-10-03,d. 31~,8,159,558,0.2849462365591398
2019-10-03,d. 31~,9,134,558,0.24014336917562723
2019-10-03,d. 31~,10,126,558,0.22580645161290322
2019-10-03,d. 31~,11,156,558,0.27956989247311825
2019-10-03,d. 31~,12,152,558,0.2724014336917563
2019-10-03,d. 31~,13,126,558,0.22580645161290322
2019-10-03,d. 31~,14,121,558,0.2168458781362007
2019-10-03,d. 31~,15,131,558,0.23476702508960573
2019-10-03,d. 31~,16,112,558,0.2007168458781362
2019-10-03,d. 31~,17,124,558,0.2222222222222222
2019-10-03,d. 31~,18,120,558,0.21505376344086022
2019-10-03,d. 31~,19,113,558,0.2025089605734767
2019-10-03,d. 31~,20,105,558,0.1881720430107527
2019-10-03,d. 31~,21,106,558,0.18996415770609318
2019-10-03,d. 31~,22,113,558,0.2025089605734767
2019-10-03,d. 31~,23,95,558,0.17025089605734767
2019-10-03,d. 31~,24,98,558,0.17562724014336917
2019-10-03,d. 31~,25,94,558,0.16845878136200718
2019-10-03,d. 31~,26,101,558,0.18100358422939067
2019-10-03,d. 31~,27,99,558,0.1774193548387097
2019-10-03,d. 31~,28,95,558,0.17025089605734767
2019-10-04,a. 0~5,0,3208,3208,1.0
2019-10-04,a. 0~5,1,705,3208,0.2197630922693267
2019-10-04,a. 0~5,2,633,3208,0.19731920199501246
2019-10-04,a. 0~5,3,573,3208,0.17861596009975061
2019-10-04,a. 0~5,4,620,3208,0.19326683291770574
2019-10-04,a. 0~5,5,626,3208,0.19513715710723192
2019-10-04,a. 0~5,6,615,3208,0.19170822942643392
2019-10-04,a. 0~5,7,735,3208,0.22911471321695762
2019-10-04,a. 0~5,8,658,3208,0.20511221945137156
2019-10-04,a. 0~5,9,754,3208,0.2350374064837905
2019-10-04,a. 0~5,10,765,3208,0.23846633416458854
2019-10-04,a. 0~5,11,735,3208,0.22911471321695762
2019-10-04,a. 0~5,12,726,3208,0.22630922693266833
2019-10-04,a. 0~5,13,697,3208,0.21726932668329177
2019-10-04,a. 0~5,14,701,3208,0.21851620947630923
2019-10-04,a. 0~5,15,671,3208,0.2091645885286783
2019-10-04,a. 0~5,16,634,3208,0.19763092269326682
2019-10-04,a. 0~5,17,579,3208,0.18048628428927682
2019-10-04,a. 0~5,18,562,3208,0.17518703241895262
2019-10-04,a. 0~5,19,598,3208,0.18640897755610972
2019-10-04,a. 0~5,20,532,3208,0.1658354114713217
2019-10-04,a. 0~5,21,625,3208,0.19482543640897756
2019-10-04,a. 0~5,22,544,3208,0.16957605985037408
2019-10-04,a. 0~5,23,556,3208,0.17331670822942644
2019-10-04,a. 0~5,24,520,3208,0.16209476309226933
2019-10-04,a. 0~5,25,473,3208,0.1474438902743142
2019-10-04,a. 0~5,26,496,3208,0.1546134663341646
2019-10-04,a. 0~5,27,478,3208,0.14900249376558602
2019-10-04,b. 6~10,0,1273,1273,1.0
2019-10-04,b. 6~10,1,305,1273,0.23959151610369206
2019-10-04,b. 6~10,2,261,1273,0.20502749410840534
2019-10-04,b. 6~10,3,252,1273,0.19795758051846032
2019-10-04,b. 6~10,4,239,1273,0.18774548311076197
2019-10-04,b. 6~10,5,280,1273,0.2199528672427337
2019-10-04,b. 6~10,6,254,1273,0.199528672427337
2019-10-04,b. 6~10,7,274,1273,0.2152395915161037
2019-10-04,b. 6~10,8,277,1273,0.2175962293794187
2019-10-04,b. 6~10,9,312,1273,0.24509033778476041
2019-10-04,b. 6~10,10,288,1273,0.22623723487824038
2019-10-04,b. 6~10,11,308,1273,0.24194815396700706
2019-10-04,b. 6~10,12,270,1273,0.21209740769835037
2019-10-04,b. 6~10,13,269,1273,0.211311861743912
2019-10-04,b. 6~10,14,283,1273,0.22230950510604872
2019-10-04,b. 6~10,15,278,1273,0.21838177533385703
2019-10-04,b. 6~10,16,257,1273,0.20188531029065201
2019-10-04,b. 6~10,17,264,1273,0.20738413197172034
2019-10-04,b. 6~10,18,239,1273,0.18774548311076197
2019-10-04,b. 6~10,19,243,1273,0.19088766692851533
2019-10-04,b. 6~10,20,201,1273,0.15789473684210525
2019-10-04,b. 6~10,21,262,1273,0.20581304006284368
2019-10-04,b. 6~10,22,234,1273,0.1838177533385703
2019-10-04,b. 6~10,23,194,1273,0.15239591516103693
2019-10-04,b. 6~10,24,201,1273,0.15789473684210525
2019-10-04,b. 6~10,25,196,1273,0.1539670070699136
2019-10-04,b. 6~10,26,178,1273,0.13982717989002358
2019-10-04,b. 6~10,27,198,1273,0.15553809897879026
2019-10-04,c. 11~30,0,1644,1644,1.0
2019-10-04,c. 11~30,1,517,1644,0.31447688564476883
2019-10-04,c. 11~30,2,385,1644,0.23418491484184914
2019-10-04,c. 11~30,3,353,1644,0.21472019464720193
2019-10-04,c. 11~30,4,354,1644,0.21532846715328466
2019-10-04,c. 11~30,5,358,1644,0.21776155717761558
2019-10-04,c. 11~30,6,353,1644,0.21472019464720193
2019-10-04,c. 11~30,7,367,1644,0.2232360097323601
2019-10-04,c. 11~30,8,350,1644,0.21289537712895376
2019-10-04,c. 11~30,9,392,1644,0.2384428223844282
2019-10-04,c. 11~30,10,370,1644,0.22506082725060828
2019-10-04,c. 11~30,11,376,1644,0.22871046228710462
2019-10-04,c. 11~30,12,343,1644,0.2086374695863747
2019-10-04,c. 11~30,13,345,1644,0.20985401459854014
2019-10-04,c. 11~30,14,356,1644,0.21654501216545013
2019-10-04,c. 11~30,15,315,1644,0.19160583941605838
2019-10-04,c. 11~30,16,301,1644,0.18309002433090024
2019-10-04,c. 11~30,17,314,1644,0.19099756690997566
2019-10-04,c. 11~30,18,285,1644,0.17335766423357665
2019-10-04,c. 11~30,19,269,1644,0.16362530413625304
2019-10-04,c. 11~30,20,251,1644,0.152676399026764
2019-10-04,c. 11~30,21,299,1644,0.1818734793187348
2019-10-04,c. 11~30,22,275,1644,0.16727493917274938
2019-10-04,c. 11~30,23,267,1644,0.1624087591240876
2019-10-04,c. 11~30,24,267,1644,0.1624087591240876
2019-10-04,c. 11~30,25,264,1644,0.16058394160583941
2019-10-04,c. 11~30,26,232,1644,0.1411192214111922
2019-10-04,c. 11~30,27,250,1644,0.15206812652068127
2019-10-04,d. 31~,0,563,563,1.0
2019-10-04,d. 31~,1,236,563,0.4191829484902309
2019-10-04,d. 31~,2,144,563,0.2557726465364121
2019-10-04,d. 31~,3,138,563,0.24511545293072823
2019-10-04,d. 31~,4,144,563,0.2557726465364121
2019-10-04,d. 31~,5,128,563,0.22735346358792186
2019-10-04,d. 31~,6,137,563,0.2433392539964476
2019-10-04,d. 31~,7,132,563,0.2344582593250444
